feature,importance
Cuisines_Chinese,0.0
"Cuisines_Chinese, Fast Food",0.0
Cuisines_Lucknowi,0.0
"Cuisines_South Indian, North Indian",0.0
"Cuisines_Biryani, Chinese",0.0
"Cuisines_Tea, Fast Food",0.0
"Cuisines_Fast Food, Italian, Beverages",0.0
"Cuisines_North Indian, Beverages",0.0
"Cuisines_Street Food, Fast Food, North Indian",0.0
"Cuisines_Rolls, Chinese",0.0
"Cuisines_South Indian, Chinese, Street Food",0.0
"Cuisines_North Indian, Mangalorean",0.0
"Cuisines_Bakery, Desserts, Fast Food",0.0
"Cuisines_Cafe, European, Continental, Sandwich, Salad, Healthy Food",0.0
Cuisines_Bengali,0.0
"Cuisines_Bakery, Fast Food",0.0
Cuisines_Desserts,0.0
"Cuisines_Desserts, Beverages, American",0.0
"Cuisines_Chinese, Thai",0.0
"Cuisines_Chinese, Fast Food, Mughlai",0.0
"Cuisines_Cafe, Continental, Fast Food",0.0
"Cuisines_Chinese, Rolls",0.0
"Cuisines_North Indian, Fast Food",0.0
"Cuisines_Mishti, Fast Food, South Indian",0.0
"Cuisines_South Indian, North Indian, Chinese, Beverages",0.0
"Cuisines_Fast Food, Bengali",0.0
"Cuisines_Beverages, Desserts",0.0
Cuisines_Rolls,0.0
"Cuisines_European, Continental, North Indian, Desserts",0.0
"Cuisines_Biryani, Mughlai, North Indian",0.0
"Cuisines_North Indian, Mughlai",0.0
"Cuisines_Chinese, Pizza, Fast Food",0.0
"Cuisines_Biryani, Hyderabadi, North Indian, Mughlai",0.0
"Cuisines_Momos, Fast Food",0.0
"Cuisines_Mithai, North Indian, South Indian, Chinese, Street Food",0.0
"Cuisines_Continental, Beverages, Desserts",0.0
"Cuisines_Fast Food, Ice Cream, Beverages",0.0
"Cuisines_Burger, Fast Food",0.0
Cuisines_Mughlai,0.0
"Cuisines_North Indian, Rolls, Chinese",0.0
"Cuisines_Andhra, Biryani",0.0
"Cuisines_North Indian, South Indian, Assamese, Maharashtrian, Bengali",0.0
"Cuisines_North Indian, Lucknowi",0.0
"Cuisines_Fast Food, Beverages",0.0
Cuisines_Pizza,0.0
"Cuisines_North Indian, Chinese, Street Food",0.0
"Cuisines_Beverages, Cafe, Sandwich, Fast Food, Desserts",0.0
"Cuisines_Street Food, Beverages",0.0
Cuisines_Bakery,0.0
"Cuisines_German, Italian, Cafe",0.0
"Cuisines_North Indian, South Indian, Chinese, Arabian",0.0
Cuisines_Mithai,0.0
"Cuisines_Finger Food, North Indian",0.0
"Cuisines_North Indian, South Indian, Fast Food, Beverages",0.0
"Cuisines_Sandwich, Chinese, North Indian, Pizza, Rolls, Fast Food, Desserts, Beverages",0.0
"Cuisines_Street Food, Fast Food",0.0
"Cuisines_Fast Food, Street Food, Momos",0.0
"Cuisines_Italian, Beverages",0.0
"Cuisines_Biryani, North Indian, Mughlai, Kebab, Rolls",0.0
"Cuisines_Fast Food, Rolls, Beverages",0.0
"Cuisines_Chettinad, North Indian, Seafood",0.0
"Cuisines_Ice Cream, Fast Food",0.0
"Cuisines_Pizza, Burger, Fast Food, Desserts",0.0
"Cuisines_Chinese, South Indian, North Indian",0.0
"Cuisines_North Indian, Street Food, Desserts",0.0
"Cuisines_Bakery, Desserts",0.0
"Cuisines_Chinese, Fast Food, North Indian, Momos",0.0
"Cuisines_North Indian, Mughlai, Momos",0.0
Cuisines_Juices,0.0
"Cuisines_Chinese, North Indian",0.0
"Cuisines_Sandwich, Italian, Desserts",0.0
"Cuisines_Cafe, Italian",0.0
"Cuisines_North Indian, Chinese, Rolls",0.0
"Cuisines_Bengali, Fast Food",0.0
"Cuisines_Parsi, Bakery",0.0
"Cuisines_Japanese, Sushi",0.0
"Cuisines_Beverages, Desserts, Ice Cream",0.0
"Cuisines_North Indian, South Indian, Chinese, Fast Food",0.0
"Cuisines_Ice Cream, Fast Food, Beverages",0.0
Cuisines_Cafe,0.0
"Cuisines_Chinese, Fast Food, North Indian, Mughlai",0.0
"Cuisines_Fast Food, Street Food, Beverages",0.0
"Cuisines_Fast Food, American",0.0
"Cuisines_Fast Food, Mughlai",0.0
"Cuisines_Fast Food, Biryani, Beverages",0.0
"Cuisines_Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",0.0
"Cuisines_Pizza, Beverages",0.0
"Cuisines_Japanese, Sushi, Asian",0.0
"Cuisines_North Indian, South Indian, Chinese, Bengali, Odia, Biryani, Beverages",0.0
Cuisines_Burger,0.0
"Cuisines_Salad, Beverages, Healthy Food, Desserts",0.0
"Cuisines_Asian, Biryani, North Indian, Desserts",0.0
"Cuisines_South Indian, North Indian, Fast Food",0.0
"Cuisines_Chinese, North Indian, Street Food",0.0
"Cuisines_Chinese, Cantonese",0.0
"Cuisines_North Eastern, Momos, Fast Food, Beverages, Tibetan",0.0
"Cuisines_Maharashtrian, South Indian, Chinese",0.0
"Cuisines_Tibetan, Chinese, Momos",0.0
"Cuisines_Fast Food, Burger",0.0
"Cuisines_North Indian, Fast Food, Chinese",0.0
"Cuisines_Cafe, Fast Food",0.0
"Cuisines_Andhra, Hyderabadi, Biryani, South Indian, North Indian, Rolls, Mughlai",0.0
"Cuisines_Fast Food, Healthy Food",0.0
Cuisines_Biryani,0.0
"Cuisines_Italian, Fast Food",0.0
"Cuisines_Desserts, Bakery",0.0
"Cuisines_Fast Food, Sandwich",0.0
"Cuisines_Italian, Lebanese, North Indian",0.0
"Cuisines_North Indian, Mughlai, Beverages",0.0
Cuisines_Ice Cream,0.0
"Cuisines_Cafe, Spanish, Italian, Mexican, Salad, Juices",0.0
Cuisines_Salad,0.0
"Cuisines_Chinese, North Indian, Mughlai",0.0
"Cuisines_North Indian, South Indian",0.0
"Cuisines_South Indian, Fast Food",0.0
"Cuisines_Chinese, Sushi, Asian, Thai",0.0
"Cuisines_North Indian, Rolls, Lebanese",0.0
Cuisines_Maharashtrian,0.0
"Cuisines_North Indian, South Indian, Chinese",0.0
"Cuisines_Continental, Pizza, Italian",0.0
"Cuisines_Fast Food, Pizza, North Indian, Momos",0.0
"Cuisines_Bakery, Desserts, Mithai",0.0
"Cuisines_Mughlai, North Indian, Kebab, Rolls",0.0
"Cuisines_North Indian, Continental, Chinese, Juices",0.0
"Cuisines_North Indian, Chinese, South Indian, Fast Food",0.0
"Cuisines_Arabian, North Indian, Biryani, Chinese, Seafood",0.0
"Cuisines_Fast Food, Pizza",0.0
"Cuisines_North Indian, Chinese, Seafood",0.0
"Cuisines_South Indian, Chinese",0.0
"Cuisines_North Indian, Sandwich, Desserts, Beverages, Continental, Chinese, Biryani, Mughlai",0.0
"Cuisines_North Indian, Mughlai, Chinese",0.0
